name,cnpj,internationalCivilAviationOrganization,internationalAirTransportAssociation,country,focalName,phoneNumber,email
ABX Air,-,ABX,GB,Estados Unidos da América,-,-,-
Aegean Airlines,-,AEE,A3,Grécia,-,-,-
Aer Lingus,-,EIN,EI,Irlanda,-,-,-
Aero Republica,-,RPB,P5,Colômbia,-,-,-
Aeroflot,-,AFL,SU,Rússia (Federação Russa),-,-,-
Aerolineas Argentinas,-,ARG,AR,Argentina,-,-,-
Aeromar,-,TAO,VW,México,-,-,-
Aeromexico,-,AMX,AM,México,-,-,-
Africa World Airlines,-,AFW,AW,Gana,-,-,-
Air Algérie,-,DAH,AH,Argélia,-,-,-
Air Arabia,-,ABY,G9,Emirados Árabes Unidos,-,-,-
Air Astana,-,KZR,KC,Cazaquistão,-,-,-
Air Austral,-,REU,UU,França,-,-,-
Air Baltic,-,BTI,BT,Letônia,-,-,-
Air Botswana,-,BOT,BP,Botsuana,-,-,-
Air Burkina,-,VBW,2J,Burkina Faso,-,-,-
Air Cairo,-,MSC,SM,Egito,-,-,-
Air Caledonie,-,TPC,TY,Nova Caledônia,-,-,-
Air Canada,-,ACA,AC,Canadá,-,-,-
Air Caraibes,-,FWI,TX,Guadeloupe,-,-,-
Air China,-,CCA,CA,China,-,-,-
Air Corsica,-,CCM,XK,França,-,-,-
Air Dolomiti,-,DLA,EN,Itália,-,-,-
Air Europa,-,AEA,UX,Espanha,-,-,-
Air France,-,AFR,AF,França,-,-,-
Air Guilin,-,CGH,GT,China,-,-,-
Air India,-,AIC,AI,Índia,-,-,-
Air Koryo,-,KOR,JS,República Popular Democrática da Coreia,-,-,-
Air Macau,-,AMU,NX,Macao,-,-,-
Air Madagascar,-,MDG,MD,Madagascar,-,-,-
Air Malta,-,AMC,KM,Malta,-,-,-
Air Mauritius,-,MAU,MK,Maurício,-,-,-
Air Moldova,-,MLD,9U,Moldávia,-,-,-
Air New Zealand,-,ANZ,NZ,Nova Zelândia,-,-,-
Air Niugini,-,ANG,PX,Papua Nova Guiné,-,-,-
Air Nostrum,-,ANE,YW,Espanha,-,-,-
Air Peace,-,APK,P4,Nigéria,-,-,-
Air Serbia,-,ASL,JU,Sérvia,-,-,-
Air Seychelles,-,SEY,HM,Seichelles,-,-,-
Air Tahiti,-,VTA,VT,Polinésia Francesa,-,-,-
Air Tahiti Nui,-,THT,TN,Polinésia Francesa,-,-,-
Air Tanzania,-,ATC,TC,Tanzânia,-,-,-
Air Transat,-,TSC,TS,Canadá,-,-,-
Air Vanuatu,-,AVN,NF,Vanuatu,-,-,-
AirBridgeCargo Airlines,-,ABW,RU,Rússia (Federação Russa),-,-,-
Aircalin,-,ACI,SB,Nova Caledônia,-,-,-
Airlink,-,LNK,4Z,África do Sul,-,-,-
Alaska Airlines,-,ASA,AS,Estados Unidos da América,-,-,-
Albastar,-,LAV,AP,Espanha,-,-,-
Allied Air,-,AJK,4W,Nigéria,-,-,-
AlMasria Universal Airlines,-,LMU,UJ,Egito,-,-,-
American Airlines,-,AAL,AA,Estados Unidos da América,-,-,-
ANA,-,ANA,NH,Japão,-,-,-
APG Airlines,-,RIV,GP,França,-,-,-
Arik Air,-,ARA,W3,Nigéria,-,-,-
Arkia Israeli Airlines,-,AIZ,IZ,Israel,-,-,-
Asiana Airlines,-,AAR,OZ,República da Coreia,-,-,-
ASKY,-,SKK,KP,Togo,-,-,-
ASL Airlines France,-,FPO,5O,França,-,-,-
Atlantic Airways,-,FLI,RC,Ilhas Faroe,-,-,-
Atlas Air,-,GTI,5Y,Estados Unidos da América,-,-,-
Austrian,-,AUA,OS,Áustria,-,-,-
Avianca,-,AVA,AV,Colômbia,-,-,-
Avianca Costa Rica,-,LRC,LR,Costa Rica,-,-,-
Avianca Ecuador,-,GLG,2K,Equador,-,-,-
Azerbaijan Airlines,-,AHY,J2,Azerbaijão,-,-,-
Azores Airlines,-,RZO,S4,Portugal,-,-,-
Azul Brazilian Airlines,-,AZU,AD,Brasil,-,-,-
Bahamasair,-,BHS,UP,Bahamas,-,-,-
Bamboo Airways,-,BAV,QH,Vietnã,-,-,-
Bangkok Airways,-,BKP,PG,Tailândia,-,-,-
Batik Air,-,BTK,ID,Indonésia,-,-,-
Belavia Belarusian Airlines,-,BRU,B2,Belarus,-,-,-
Biman Bangladesh Airlines,-,BBC,BG,Bangladesh,-,-,-
Binter Canarias,-,IBB,NT,Espanha,-,-,-
Blue Air,-,BMS,0B,Romênia,-,-,-
Blue Panorama,-,BPA,BV,Itália,-,-,-
BoA Boliviana de Aviacion,-,BOV,OB,Bolívia,-,-,-
Braathens Regional Airways,-,BRX,TF,Suécia,-,-,-
British Airways,-,BAW,BA,Reino Unido,-,-,-
Brussels Airlines,-,BEL,SN,Bélgica,-,-,-
Bulgaria Air,-,LZB,FB,Bulgária,-,-,-
Cabo Verde Airlines,-,TCV,VR,Cabo Verde,-,-,-
CAL Cargo Airlines,-,ICL,5C,Israel,-,-,-
Camair-Co,-,CRC,QC,Camarões,-,-,-
Cambodia Angkor Air,-,KHV,K6,Camboja,-,-,-
Capital Airlines,-,CBJ,JD,China,-,-,-
Cargojet Airways,-,CJT,W8,Canadá,-,-,-
Cargolux,-,CLX,CV,Luxemburgo,-,-,-
Caribbean Airlines,-,BWA,BW,Trinidad e Tobago,-,-,-
Carpatair,-,KRP,V3,Romênia,-,-,-
Cathay Pacific,-,CPA,CX,Hong Kong,-,-,-
Cebu Pacific,-,CEB,5J,Filipinas,-,-,-
China Airlines,-,CAL,CI,Taiwan,-,-,-
China Cargo Airlines,-,CKK,CK,China,-,-,-
China Eastern,-,CES,MU,China,-,-,-
China Express Airlines,-,HXA,G5,China,-,-,-
China Postal Airlines,-,CYZ,CF,China,-,-,-
China Southern Airlines,-,CSN,CZ,China,-,-,-
CityJet,-,BCY,WX,Irlanda,-,-,-
