name,airport_operator,city,uf,internationalCivilAviationOrganization,internationalAirTransportAssociation,totalArea,capacity,amountOfDomesticTerminals,amountOfInternationalTerminals,focalName,phoneNumber,email
AEROPORTO CAMPO DE MARTE,XP Infra,SÃO CARLOS,SP,SBMT,RTE,0,0,1,0,-,-,-
AEROPORTO CATARATAS,CCR Aeroportos,FOZ DO IGUAÇU,PR,SBFI,IGU,21750.00,0,1,0,-,-,-
AEROPORTO COMANDANTE GUSTAVO KRAEMER,CCR Aeroportos,BAGÉ,RS,SBBG,BGX,532.00,0,1,0,-,-,-
AEROPORTO DE BACACHERI,CCR Aeroportos,CURITIBA,PR,SBBI,BFH,0,0,1,0,-,-,-
AEROPORTO DE CRUZEIRO DO SUL,VINCI Airports,CRUZEIRO DO SUL,AC,SBCZ,CZS,3500.00,0,1,0,-,-,-
AEROPORTO DE MACAÉ,Zurich Airport,MACAÉ,RJ,SBME,MEA,10539.00,0,1,0,-,-,-
AEROPORTO GOVERNADOR JOSÉ RICHA,CCR Aeroportos,LONDRINA,PR,SBLO,LDB,5945.00,0,1,0,-,-,-
AEROPORTO INTERNACIONAL DE PELOTAS - JOÃO SIMÕES LOPES NETO,CCR Aeroportos,PELOTAS,RS,SBPK,PET,219.00,0,1,0,-,-,-
AEROPORTO INTERNACIONAL DE PONTA PORÃ,Aena Brasil,PONTA PORÃ,MS,SBPP,PMG,0,0,1,0,-,-,-
AEROPORTO INTERNACIONAL DE SÃO PAULO/GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GRU Airport,GUARULHOS,SP,SBGR,GRU,387000.00,0,1,0,-,-,-
AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO - ANTONIO CARLOS JOBIM,RioGaleão,RIO DE JANEIRO,RJ,SBGL,GIG,258300.00,0,1,0,-,-,-
AEROPORTO LAURO CARNEIRO DE LOYOLA,CCR Aeroportos,JOINVILLE,SC,SBJV,JOI,3203.97,0,1,0,-,-,-
AEROPORTO MINISTRO VICTOR KONDER,CCR Aeroportos,NAVEGANTES,SC,SBNF,NVT,14448.00,0,1,0,-,-,-
AEROPORTO RUBEM BERTA,CCR Aeroportos,URUGUAIANA,RS,SBUG,URG,1199.00,0,1,0,-,-,-
AFONSO PENA,CCR Aeroportos,SÃO JOSÉ DOS PINHAIS,PR,SBCT,CWB,112176.00,0,1,0,-,-,-
ALBERTO ALCOLUMBRE,Centro-Oeste Airports,MACAPÁ,AP,SBMQ,MCP,27204.80,0,1,0,-,-,-
ALTAMIRA,Aena Brasil,ALTAMIRA,PA,SBHT,ATM,648.00,0,1,0,-,-,-
ATLAS BRASIL CANTANHEDE,VINCI Airports,BOA VISTA,RR,SBBV,BVB,4798.00,0,1,0,-,-,-
BRIGADEIRO LYSIAS RODRIGUES,CCR Aeroportos,PALMAS,TO,SBPJ,PMW,12331.00,0,1,0,-,-,-
CAMPO GRANDE,Aena Brasil,CAMPO GRANDE,MS,SBCG,CGR,7215.11,0,1,0,-,-,-
CARAJÁS,Aena Brasil,PARAUAPEBAS,PA,SBCJ,CKS,800.00,0,1,0,-,-,-
CONGONHAS,Aena Brasil,SÃO PAULO,SP,SBSP,CGH,64579.00,0,1,0,-,-,-
CORUMBÁ,Aena Brasil,CORUMBÁ,MS,SBCR,CMG,2403.00,0,1,0,-,-,-
DEPUTADO LUÍS EDUARDO MAGALHÃES,VINCI Airports,SALVADOR,BA,SBSV,SSA,69750.0,0,1,0,-,-,-
EDUARDO GOMES,VINCI Airports,MANAUS,AM,SBEG,MAO,79501.59,0,1,0,-,-,-
EURICO DE AGUIAR SALLES,Zurich Airport,VITÓRIA,ES,SBVT,VIX,31850.00,0,1,0,-,-,-
GLAUBER DE ANDRADE ROCHA,SOCICAM,VITÓRIA DA CONQUISTA,BA,SBVC,VDC,5608.00,0,1,0,-,-,-
GOVERNADOR ALUIZIO ALVES,Inframérica,SÃO GONÇALO DO AMARANTE,RN,SBSG,NAT,50476.00,0,1,0,-,-,-
GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,VINCI Airports,PORTO VELHO,RO,SBPV,PVH,7875.00,0,1,0,-,-,-
GUARARAPES - GILBERTO FREYRE,Aena Brasil,RECIFE,PE,SBRF,REC,32056.0,0,1,0,-,-,-
HERCÍLIO LUZ,Zurich Airport,FLORIANÓPOLIS,SC,SBFL,FLN,49000.00,0,1,0,-,-,-
INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,Centro-Oeste Airports,BELÉM,PA,SBBE,BEL,22737.00,0,1,0,-,-,-
JACAREPAGUÁ,XP Infra,RIO DE JANEIRO,RJ,SBJR,QJR,373.28,0,1,0,-,-,-
JOÃO CORREA DA ROCHA,Aena Brasil,MARABÁ,PA,SBMA,MAB,2236.00,0,1,0,-,-,-
MAESTRO WILSON FONSECA,Aena Brasil,SANTARÉM,PA,SBSN,STM,1607.00,0,1,0,-,-,-
MARECHAL CUNHA MACHADO,CCR Aeroportos,SÃO LUÍS,MA,SBSL,SLZ,10700.00,0,1,0,-,-,-
MARECHAL RONDON,Centro-Oeste Airports,VÁRZEA GRANDE,MT,SBCY,CGB,17000.00,0,1,0,-,-,-
MARIO DE ALMEIDA FRANCO,Aena Brasil,UBERABA,MG,SBUR,UBA,2000.00,0,1,0,-,-,-
MÁRIO RIBEIRO,Aena Brasil,MONTES CLAROS,MG,SBMK,MOC,1200.00,0,1,0,-,-,-
ORLANDO BEZERRA DE MENEZES,Aena Brasil,JUAZEIRO DO NORTE,CE,SBJU,JDO,2500.00,0,1,0,-,-,-
PILOTO OSVALDO MARQUES DIAS,Centro-Oeste Airports,ALTA FLORESTA,MT,SBAT,AFL,900.00,0,1,0,-,-,-
PINTO MARTINS,Fraport,FORTALEZA,CE,SBFZ,FOR,72000.00,0,1,0,-,-,-
PLÁCIDO DE CASTRO,VINCI Airports,RIO BRANCO,AC,SBRB,RBR,12800.00,0,1,0,-,-,-
PORTO SEGURO,Sinart,PORTO SEGURO,BA,SBPS,BPS,5500.00,0,1,0,-,-,-
PREFEITO RENATO MOREIRA,CCR Aeroportos,IMPERATRIZ,MA,SBIZ,IMP,2323.08,0,1,0,-,-,-
PRESIDENTE CASTRO PINTO,Aena Brasil,BAYEUX,PB,SBJP,JPA,9464.00,0,1,0,-,-,-
PRESIDENTE JOÃO BATISTA FIGUEIREDO,Centro-Oeste Airports,SINOP,MT,SBSI,OPS,1130.00,0,1,0,-,-,-
PRESIDENTE JOÃO SUASSUNA,Aena Brasil,CAMPINA GRANDE,PB,SBKG,CPV,1900.00,0,1,0,-,-,-
PRESIDENTE JUSCELINO KUBITSCHEK,Inframérica,BRASÍLIA,DF,SBBR,BSB,113300.00,0,1,0,-,-,-
RONDONÓPOLIS,Centro-Oeste Airports,RONDONÓPOLIS,MT,SBRD,ROO,910.00,0,1,0,-,-,-
SALGADO FILHO,Fraport,PORTO ALEGRE,RS,SBPA,POA,51936.00,0,1,0,-,-,-
SANTA GENOVEVA/GOIÂNIA,CCR Aeroportos,GOIÂNIA,GO,SBGO,GYN,30870.00,0,1,0,-,-,-
SANTA MARIA,Aena Brasil,ARACAJU,SE,SBAR,AJU,10714.00,0,1,0,-,-,-
SENADOR NILO COELHO,CCR Aeroportos,PETROLINA,PE,SBPL,PNZ,3344.00,0,1,0,-,-,-
SENADOR PETRÔNIO PORTELLA,CCR Aeroportos,TERESINA,PI,SBTE,THE,4263.38,0,1,0,-,-,-
TABATINGA,VINCI Airports,TABATINGA,AM,SBTT,TBT,5221.00,0,1,0,-,-,-
TANCREDO NEVES,BH Airport,CONFINS,MG,SBCF,CNF,121695.00,0,1,0,-,-,-
TEFÉ,VINCI Airports,TEFÉ,AM,SBTF,TFF,4001.71,0,1,0,-,-,-
TEN CEL AVIADOR CÉSAR BOMBONATO,Aena Brasil,UBERLÂNDIA,MG,SBUL,UDI,4733.00,0,1,0,-,-,-
VIRACOPOS,Aeroportos Brasil Viracopos,CAMPINAS,SP,SBKP,VCP,163366.00,0,1,0,-,-,-
ZUMBI DOS PALMARES,Aena Brasil,RIO LARGO,AL,SBMO,MCZ,22000.00,0,1,0,-,-,-
